Stream ID,mezzanine radius,pic timing,VUI timing,sample entry,CMAF frag dur,init constraints,frag_type,resolution,framerate,bitrate,duration,wave_profile
1,L1_1920x1080,TRUE,FALSE,avc1,2,regular,duration,1920x1080,0.5,5100,30,cfhd
2,L1_1920x1080,FALSE,TRUE,avc3,5,single,pframes,1920x1080,0.5,5000,30,cfhd
3,L1_1920x1080,TRUE,FALSE,avc1+3,2,regular,every_frame,1920x1080,0.5,4900,30,cfhd
10,L1_1920x1080,FALSE,FALSE,avc1,2,regular,duration,1920x1080,0.5,4800,30,cfhd
11,L1_1920x1080,TRUE,TRUE,avc1,2,regular,duration,1920x1080,0.5,4100,30,cfhd
12,L1_1920x1080,TRUE,FALSE,avc3,2,regular,duration,1920x1080,0.5,4200,30,cfhd
13,L1_1920x1080,TRUE,FALSE,avc1+3,2,regular,duration,1920x1080,0.5,4300,30,cfhd
14,L1_1920x1080,TRUE,FALSE,avc1,5,regular,duration,1920x1080,0.5,4400,30,cfhd
15,L1_1920x1080,TRUE,FALSE,avc1,2,single,duration,1920x1080,0.5,4500,30,cfhd
16,L1_1920x1080,TRUE,FALSE,avc1,2,regular,pframes,1920x1080,0.5,4600,30,cfhd
17,L1_1920x1080,TRUE,FALSE,avc1,2,regular,every_frame,1920x1080,0.5,4700,30,cfhd
19,L1_1920x1080,TRUE,FALSE,avc1,2,regular,duration,1920x1080,0.5,5100,60,cfhd
20,L2_1920x1080,TRUE,FALSE,avc1,2,regular,duration,1920x1080,1,6000,60,chdf
21,K1_1600x900,TRUE,FALSE,avc1,2,regular,duration,1600x900,0.5,3000,60,cfhd
22,J1_1280x720,TRUE,FALSE,avc1,2,regular,duration,1280x720,0.5,2000,60,cfhd
23,J1_1280x720,TRUE,FALSE,avc1,2,regular,duration,1280x720,1,3000,60,cfhd
24,I1_1024x576,TRUE,FALSE,avc1,2,regular,duration,1024x576,0.5,1200,60,cfhd
25,I2_1024x576,TRUE,FALSE,avc1,2,regular,duration,1024x576,0.5,1500,60,cfhd
26,H1_960x540,TRUE,FALSE,avc1,2,regular,duration,960x540,0.5,1100,60,cfhd
27,G1_852x480,TRUE,FALSE,avc1,2,regular,duration,852x480,0.5,1000,60,cfhd
28,F1_768x432,TRUE,FALSE,avc1,2,regular,duration,768x432,0.5,900,60,cfhd
29,E1_720x404,TRUE,FALSE,avc1,2,regular,duration,720x404,0.5,800,60,cfhd
30,D1_704x396,TRUE,FALSE,avc1,2,regular,duration,704x396,0.5,700,60,cfhd
31,C1_640x360,TRUE,FALSE,avc1,2,regular,duration,640x360,0.5,600,60,cfhd
32,B1_512x288,TRUE,FALSE,avc1,2,regular,duration,512x288,0.5,450,60,cfhd
33,A1_480x270,TRUE,FALSE,avc1,2,regular,duration,480x270,0.5,400,60,cfhd
34,A1_480x270,TRUE,FALSE,avc1,2,regular,duration,480x270,0.25,300,60,cfhd
audio,A1_480x270,FALSE,FALSE,avc1,2,regular,duration,480x270,0.25,128,60,caac
1,L1_1920x1080,FALSE,TRUE,hvc1,2,regular,duration,1920x1080,0.5,3500,30,chh1
LD,LD1_1920x1080,TRUE,FALSE,avc1,2,regular,duration,1920x1080,0.5,5100,7200,cfhd